date,Low,Close
2019-07-21,81.81,81.93
2019-07-18,82.52,83.35
2019-07-17,83.33,83.63
2019-07-16,83.66,84.91
2019-07-15,83.2,83.58
2019-07-14,83.11,84.4
2019-07-11,82.85,83.35
2019-07-10,83.36,83.42
2019-07-09,84.76,85.5
2019-07-08,84.69,84.69
2019-07-07,85.82,86.07
2019-07-04,87.05,87.05
2019-07-03,85.88,87.14
2019-07-02,85.37,85.84
2019-07-01,84.73,85.36
2019-06-30,84.7,85.03
2019-06-27,84.32,84.64
2019-06-26,84.73,85.0
2019-06-25,85.96,86.02
2019-06-24,86.17,86.52
2019-06-23,86.54,86.78
2019-06-20,86.85,87.36
2019-06-19,86.67,87.03
2019-06-18,86.0,86.02
2019-06-17,85.3,86.11
2019-06-16,85.02,85.17
2019-06-13,84.93,85.5
2019-06-12,85.55,86.2
2019-06-11,85.38,85.71
2019-06-10,85.56,85.87
2019-06-09,85.65,86.1
2019-06-06,84.88,85.86
2019-06-05,84.56,85.43
2019-06-04,84.67,85.09
2019-06-03,84.1,84.86
2019-06-02,84.26,84.5
2019-05-30,84.13,84.47
2019-05-29,84.25,84.73
2019-05-28,84.08,84.81
2019-05-27,83.36,84.44
2019-05-26,83.31,83.77
2019-05-23,82.49,83.08
2019-05-22,82.61,83.0
2019-05-21,81.6,82.97
2019-05-20,81.75,82.43
2019-05-19,81.6,82.78
2019-05-16,81.88,82.33
2019-05-15,82.74,83.17
2019-05-14,83.02,83.69
2019-05-13,83.29,83.49
2019-05-12,82.23,83.5
2019-05-09,81.75,82.43
2019-05-08,81.04,82.39
2019-05-07,79.25,81.24
2019-05-06,79.9,80.21
2019-05-05,80.1,81.28
2019-05-02,82.98,84.01
2019-05-01,83.43,83.43
2019-04-30,82.71,83.43
2019-04-29,81.69,82.81
2019-04-28,80.75,81.44
2019-04-25,80.66,81.2
2019-04-24,80.45,82.07
2019-04-23,81.35,81.47
2019-04-22,79.77,81.61
2019-04-21,79.36,79.36
2019-04-18,79.36,79.36
2019-04-17,78.17,79.36
2019-04-16,77.46,78.07
2019-04-15,76.77,76.98
2019-04-14,76.97,78.21
2019-04-11,77.33,77.62
2019-04-10,78.91,79.31
2019-04-09,78.6,78.84
2019-04-08,78.42,79.25
2019-04-07,78.68,78.89
2019-04-04,80.19,80.77
2019-04-03,79.75,80.03
2019-04-02,79.92,80.37
2019-04-01,80.46,80.72
2019-03-31,80.52,80.68
2019-03-28,79.62,80.41
2019-03-27,78.2,79.2
2019-03-26,78.15,78.79
2019-03-25,76.55,77.85
2019-03-24,76.06,76.5
2019-03-21,77.4,78.0
2019-03-20,76.22,77.49
2019-03-19,77.63,78.19
2019-03-18,76.75,77.83
2019-03-17,76.42,77.82
2019-03-14,74.65,76.92
2019-03-13,75.66,75.86
2019-03-12,77.72,78.2
2019-03-11,78.77,79.73
2019-03-10,78.82,79.34
2019-03-07,79.69,79.69
2019-03-06,80.54,81.15
2019-03-05,81.15,81.17
2019-03-04,80.53,82.19
2019-03-03,79.91,79.97
2019-02-28,82.17,83.42
2019-02-27,81.63,82.0
2019-02-26,82.43,83.81
2019-02-25,81.72,83.08
2019-02-24,81.67,83.26
